Purchasing Document,Item,Order Type,Vendor,Short Text,Currency,Targ.Val. (Hdr),Released Value,Total Open Value,Validity Per. Start,Validity Period End,Purch. organization,MPN material,Net Price,Price unit,Tax Code,Order Unit,Target Quantity,Qty Released to Date,Open Target Quantity,Purchasing Group,Long Text,Salesperson,Deletion indicator
4100000003,10,MK,100178,"Lamps,sockets & Fittings Tower lighted",LKR,0.00,0.00,0.00,9/30/2011,12/31/2011,LK10,1000006826,"23,000.00",1,V4,EA,141,0,141,001,Supply & delivery of Air Craft Warning L,,L
4100000003,30,MK,100178,Air Craft Warning Lamp San-Innolite 2000,LKR,0.00,0.00,0.00,9/30/2011,12/31/2011,LK10,1000006947,"23,000.00",1,V4,EA,107,0,107,001,Supply & delivery of Air Craft Warning L,,
4100000004,10,MK,100204,"Rectifier - Eltek (19"" Rack Mountable)",USD,0.00,0.00,0.00,7/6/2010,12/31/2011,LK10,1000008617,365.00,1,V4,EA,1,0,1,001,,,L
4100000004,20,MK,100204,Rectifier - Eltek FP2 1400 Modules,USD,0.00,0.00,0.00,7/6/2010,12/31/2011,LK10,1000008618,165.00,1,V4,EA,2,0,2,001,,,L
4100000004,30,MK,100204,Battery Bank - Exide - PFT 12V 100,USD,0.00,0.00,0.00,7/6/2010,12/31/2011,LK10,1000007634,640.00,1,V4,EA,1,0,1,001,,,L
4100000005,10,MK,100204,RF protector-Polyphasor-DGXE+24DMDF-A,USD,0.00,0.00,0.00,11/9/2009,11/9/2010,LK10,1000007911,"97,350.00",1,V4,EA,"1,650",0,"1,650",001,,,L
4100000006,10,MK,100204,Eltek FP 700A - Smart Node controller,USD,0.00,0.00,0.00,2/14/2011,2/14/2012,LK10,1000008628,400.00,1,V4,EA,2,0,2,001,,,L
4100000006,20,MK,100204,Eltek FP 700A - HVD Contactor-48V/125A,USD,0.00,0.00,0.00,2/14/2011,2/14/2012,LK10,1000008629,275.00,1,V4,EA,4,0,4,001,,,L
4100000006,30,MK,100204,Eltek FP 700A - AC detect PCB,USD,0.00,0.00,0.00,2/14/2011,2/14/2012,LK10,1000008630,150.00,1,V4,EA,4,0,4,001,,,L
4100000006,40,MK,100204,Eltek FP 700A - PFC PCB,USD,0.00,0.00,0.00,2/14/2011,2/14/2012,LK10,1000008631,75.00,1,V4,EA,2,0,2,001,,,L
4100000007,10,MK,100204,Eltek Rectifier,USD,0.00,0.00,0.00,11/17/2010,11/17/2012,LK10,1000008603,625.00,1,V4,EA,999,0,999,001,,,L
4100000007,20,MK,100204,Eltek Rectifier Module FP 48/2000W HE,USD,0.00,0.00,0.00,11/17/2010,11/17/2012,LK10,1000008602,625.00,1,V4,EA,999,0,999,001,,,L
4100000007,30,MK,100204,4 Standard Tool kits,USD,0.00,0.00,0.00,11/17/2010,11/17/2012,LK10,1000010577,0.01,1,V4,EA,999,0,999,001,,,L
4100000008,10,MK,100218,DC MODULE 650 - 378 -&- Power & utilit,LKR,0.00,0.00,0.00,11/10/2010,5/10/2011,LK10,1000007689,"41,500.00",1,V4,EA,20,0,20,004,,,
4100000008,20,MK,100218,Gene Access 171 - 186 MagneticPickup,LKR,0.00,0.00,0.00,11/10/2010,5/10/2011,LK10,1000007693,"7,200.00",1,V4,EA,5,0,5,004,,,
4100000008,30,MK,100218,Powerwizard 1.0 Controller,LKR,0.00,0.00,0.00,11/10/2010,5/10/2011,LK10,1000007764,"67,500.00",1,V4,EA,5,0,5,004,,,
4100000009,10,MK,100218,PS - Sound Proofing of Gen 26 kVA,LKR,"14,125,000.00",0.00,"14,125,000.00",1/26/2011,1/26/2012,LK10,1000010648,"175,000.00",1,V5,EA,25,0,25,001,Supply Of Sound Proofing Of Open Type Ge,,
4100000009,20,MK,100218,PS - Sound Proofing of Gen 13 kVA,LKR,"14,125,000.00","1,300,000.00","12,825,000.00",1/26/2011,1/26/2012,LK10,1000010647,"130,000.00",1,V5,EA,40,10,30,001,Supply Of Sound Proofing Of Open Type Ge,,
4100000009,30,MK,100218,PS - Sound Proofing of Gen 10/11.5 kVA,LKR,"14,125,000.00",0.00,"14,125,000.00",1/26/2011,1/26/2012,LK10,1000010646,"130,000.00",1,V5,EA,20,0,20,001,Supply Of Sound Proofing Of Open Type Ge,,
4100000009,40,MK,100218,PS - Sound Proofing of Gen 7.5 kVA,LKR,"14,125,000.00",0.00,"14,125,000.00",1/26/2011,1/26/2012,LK10,1000010649,"130,000.00",1,V5,EA,15,0,15,001,Supply Of Sound Proofing Of Open Type Ge,,
4100000010,10,MK,100296,SS 50 M Non Aesthetic,USD,0.00,0.00,0.00,10/25/2010,12/31/2011,LK10,1000009161,"21,240.00",1,V4,EA,4,0,4,001,,,L
4100000010,20,MK,100296,SS 60 M Non Aesthetic,USD,0.00,0.00,0.00,10/25/2010,12/31/2011,LK10,1000009162,"27,705.00",1,V4,EA,4,0,4,001,,,L
4100000010,30,MK,100296,SS 50 M Non Aesthetic,USD,0.00,0.00,0.00,10/25/2010,12/31/2011,LK10,1000009161,"21,240.00",1,V4,EA,8,0,8,001,,,L
4100000010,40,MK,100296,SS 60 M Non Aesthetic,USD,0.00,0.00,0.00,10/25/2010,12/31/2011,LK10,1000009162,"27,705.00",1,V4,EA,12,0,12,001,,,L
4100000011,10,MK,100296,SS 50 M Non Aesthetic,USD,0.00,0.00,0.00,2/8/2011,2/8/2012,LK10,1000009161,"21,240.00",1,V4,EA,8,0,8,001,,,L
4100000011,20,MK,100296,SS 60 M Non Aesthetic,USD,0.00,0.00,0.00,2/8/2011,2/8/2012,LK10,1000009162,"27,705.00",1,V4,EA,12,0,12,001,,,L
4100000012,10,MK,100357,FCS-Glocool -IGTL- Inlet/Outlet,USD,0.00,0.00,0.00,4/20/2010,2/25/2011,LK10,1000006943,925.00,1,V4,EA,150,0,150,001,,,
4100000013,10,MK,100461,Generator Accessories SR 7/2,LKR,0.00,0.00,0.00,11/10/2010,5/10/2011,LK10,1000007796,"11,200.00",1,V4,EA,5,0,5,004,,,
4100000013,20,MK,100461,Deep Sea Module (Model - 521),LKR,0.00,0.00,0.00,11/10/2010,5/10/2011,LK10,1000007762,"38,000.00",1,V4,EA,18,0,18,004,,,
4100000013,30,MK,100461,DEEP SEA 710,LKR,0.00,0.00,0.00,11/10/2010,5/10/2011,LK10,1000007894,"67,750.00",1,V4,EA,12,0,12,004,,,
4100000014,10,MK,100461,18kVA Standard Generator (Open),USD,0.00,0.00,0.00,11/8/2010,11/8/2011,LK10,1000010573,"7,587.60",1,V4,EA,999,0,999,001,,,
4100000015,10,MK,100899,Gene Access U85206451FuelSolenoid,LKR,0.00,0.00,0.00,11/10/2010,5/10/2011,LK10,1000007869,"5,819.00",1,V4,EA,3,0,3,004,,,
4100000016,10,MK,100969,SS 40 M Non Aesthetic,USD,0.00,0.00,0.00,2/8/2011,2/8/2012,LK10,1000009160,"14,106.80",1,V4,EA,5,0,5,001,,,
4100000016,20,MK,100969,SS 50 M Non Aesthetic,USD,0.00,0.00,0.00,2/8/2011,2/8/2012,LK10,1000009161,"21,185.50",1,V4,EA,10,0,10,001,,,
4100000016,30,MK,100969,SS 60 M Non Aesthetic,USD,0.00,0.00,0.00,2/8/2011,2/8/2012,LK10,1000009162,"26,975.00",1,V4,EA,13,0,13,001,,,
4100000016,40,MK,100969,SS 70 M Non Aesthetic,USD,0.00,0.00,0.00,2/8/2011,2/8/2012,LK10,1000009163,"34,077.60",1,V4,EA,8,0,8,001,,,
4100000017,10,MK,100969,SS 35 M Non Aesthetic,USD,0.00,0.00,0.00,10/25/2010,12/31/2011,LK10,1000009159,"14,000.00",1,V4,EA,1,0,1,001,,,L
4100000017,20,MK,100969,SS 40 M Non Aesthetic,USD,0.00,0.00,0.00,10/25/2010,12/31/2011,LK10,1000009160,"14,106.80",1,V4,EA,1,0,1,001,,,L
4100000017,30,MK,100969,SS 50 M Non Aesthetic,USD,0.00,0.00,0.00,10/25/2010,12/31/2011,LK10,1000009161,"21,185.50",1,V4,EA,6,0,6,001,,,L
4100000017,40,MK,100969,SS 60 M Non Aesthetic,USD,0.00,0.00,0.00,10/25/2010,12/31/2011,LK10,1000009162,"26,975.00",1,V4,EA,5,0,5,001,,,L
4100000017,50,MK,100969,SS 70 M Non Aesthetic,USD,0.00,0.00,0.00,10/25/2010,12/31/2011,LK10,1000009163,"34,077.60",1,V4,EA,5,0,5,001,,,L
4100000017,60,MK,100969,SS 80 M Non Aesthetic,USD,0.00,0.00,0.00,10/25/2010,12/31/2011,LK10,1000009164,"47,900.00",1,V4,EA,4,0,4,001,,,L
4100000018,10,MK,100969,CGE - CL-18GF/13kVA/Open,USD,0.00,0.00,0.00,9/29/2010,9/29/2011,LK10,1000007958,"4,684.10",1,V4,EA,999,0,999,001,,,
4100000019,10,MK,101020,WCDMA Pico smark Repeater-10dBm,USD,0.00,0.00,0.00,2/28/2011,2/28/2012,LK10,1000010662,600.00,1,V4,EA,999,0,999,001,,,
4100000020,10,MK,101801,Fiamm Battery Bank 6SLA200,USD,0.00,0.00,0.00,7/29/2010,7/29/2014,LK10,1000007626,"2,150.00",1,V4,EA,200,0,200,001,,,
4100000020,20,MK,101801,BATTERY BANK220Ah - HOPPACKE SB 6V220,USD,0.00,0.00,0.00,7/29/2010,7/29/2014,LK10,1000007649,"1,985.00",1,V4,EA,100,0,100,001,,,
4100000021,10,MK,101805,SS 70 M Non Aesthetic,USD,0.00,0.00,0.00,10/25/2010,12/31/2011,LK10,1000009163,"34,743.90",1,V4,EA,3,0,3,001,,,L
4100000022,10,MK,101805,SS 40 M Non Aesthetic,USD,0.00,0.00,0.00,2/8/2011,2/8/2012,LK10,1000009160,"15,843.08",1,V4,EA,3,0,3,001,,,L
4100000022,20,MK,101805,SS 70 M Non Aesthetic,USD,0.00,0.00,0.00,2/8/2011,2/8/2012,LK10,1000009163,"34,743.90",1,V4,EA,7,0,7,001,,,L
4100000023,10,MK,102020,Kirloskar KG 10W/7.5kVA/Open,USD,0.00,0.00,0.00,9/29/2010,9/29/2011,LK10,1000007959,"4,000.00",1,V4,EA,999,0,999,001,,,
4100000024,10,MK,102022,Copper Tapes Citizen-25mm x 3mm,USD,0.00,0.00,0.00,2/7/2011,3/7/2012,LK10,1000006941,"6,330.00",1,V4,EA,"99,999",0,"99,999",001,,,L
4100000024,20,MK,102022,Copper Plates -Sri Sam,USD,0.00,0.00,0.00,2/7/2011,3/7/2012,LK10,1000010596,"90,330.00",1,V4,EA,999,0,999,001,,,L
4100000025,10,MK,102022,Aluminium tape,USD,0.00,0.00,0.00,9/30/2010,9/30/2010,LK10,1000010592,0.80,1,V4,M,"99,999",0,"99,999",001,,,L
4100000026,10,MK,200014,Single array DCS/UMTS 90,USD,0.00,0.00,0.00,2/28/2011,2/28/2012,LK10,1000010652,273.00,1,V4,EA,999,0,999,001,,,
4100000026,20,MK,200014,Dual array GSM/DCS/UMTS 90,USD,0.00,0.00,0.00,2/28/2011,2/28/2012,LK10,1000010606,"1,023.00",1,V4,EA,999,0,999,001,,,
4100000026,30,MK,200014,Dual array DCS/UMTS 90,USD,0.00,0.00,0.00,2/28/2011,2/28/2012,LK10,1000010604,655.00,1,V4,EA,999,0,999,001,,,
4100000026,40,MK,200014,Triple array GSM/DCS/UMTS 65,USD,0.00,0.00,0.00,2/28/2011,2/28/2012,LK10,1000010655,"1,108.00",1,V4,EA,999,0,999,001,,,
4100000027,10,MK,200033,70m Heavy Duty Four Legged Tower (CS),USD,0.00,0.00,0.00,10/25/2010,12/31/2011,LK10,1000010591,"46,638.00",1,V4,EA,10,0,10,001,,,L
4100000028,10,MK,200110,Powerware APS 0760-Rect module APR48,USD,0.00,"7,640.00","-7,640.00",2/14/2011,2/14/2012,LK10,1000010643,382.00,1,V0,EA,20,20,0,001,"Supply, Delivery, of Spares for Rectifie",,
4100000028,20,MK,200110,Powerware rectifier module APR 48-3G,USD,0.00,"18,750.00","-18,750.00",2/14/2011,2/14/2012,LK10,1000008589,375.00,1,V0,EA,50,50,0,001,"Supply, Delivery, of Spares for Rectifie",,
4100000028,30,MK,200110,Powerware APS 6200-3G-IOBGP for APR48 3G,USD,0.00,"1,110.00","-1,110.00",2/14/2011,2/14/2012,LK10,1000010644,111.00,1,V0,EA,10,10,0,001,"Supply, Delivery, of Spares for Rectifie",,
4100000028,40,MK,200110,Powerware APS 6200-3G - VMR (HVD - E02),USD,0.00,"3,000.00","-3,000.00",2/14/2011,2/14/2012,LK10,1000010645,300.00,1,V0,EA,10,10,0,001,"Supply, Delivery, of Spares for Rectifie",,
4100000029,10,MK,200127,Ericsson- MinilinkTN-ACC-6GHz-SepKit,USD,0.00,0.00,0.00,10/21/2010,10/21/2011,LK10,1000004413,50.00,1,V4,EA,8,0,8,001,,,
4100000029,20,MK,200127,ANT0 2.4 6 HP,USD,0.00,0.00,0.00,10/21/2010,10/21/2011,LK10,1000010514,"3,505.00",1,V4,EA,8,0,8,001,,,
4100000029,30,MK,200127,Ericsson- MinilinkTN-ACC-N Connector,USD,0.00,0.00,0.00,10/21/2010,10/21/2011,LK10,1000004401,3.76,1,V4,EA,8,0,8,001,,,
4100000029,40,MK,200127,"TZC 500 97, 75M",USD,0.00,0.00,0.00,10/21/2010,10/21/2011,LK10,1000010565,8.34,1,V4,EA,8,0,8,001,,,
4100000029,50,MK,200127,Ericsson- MinilinkTN-ACC-Earthing Kit,USD,0.00,0.00,0.00,10/21/2010,10/21/2011,LK10,1000004403,2.87,1,V4,EA,32,0,32,001,,,
4100000029,60,MK,200127,Ericsson- MinilinkTN-ODU-6GHz-21-KIT,USD,0.00,0.00,0.00,10/21/2010,10/21/2011,LK10,1000005142,968.13,1,V4,EA,8,0,8,001,,,
4100000029,70,MK,200127,Ericsson- MinilinkTN-ACC-Ethernet-3m,USD,0.00,0.00,0.00,10/21/2010,10/21/2011,LK10,1000004404,3.40,1,V4,EA,16,0,16,001,,,
4100000029,80,MK,200127,Ericsson- MinilinkTN-IndoorHW-MMU2H,USD,0.00,0.00,0.00,10/21/2010,10/21/2011,LK10,1000004430,604.50,1,V4,EA,8,0,8,001,,,
4100000029,90,MK,200127,Ericsson- MinilinkTN-ACC-Tributary4E1-6m,USD,0.00,0.00,0.00,10/21/2010,10/21/2011,LK10,1000004405,4.78,1,V4,EA,68,0,68,001,,,
4100000029,100,MK,200127,Ericsson- MinilinkTN-IndoorHW-ETU3,USD,0.00,0.00,0.00,10/21/2010,10/21/2011,LK10,1000004427,158.00,1,V4,EA,4,0,4,001,,,
4100000029,110,MK,200127,Ericsson- MinilinkTN-IndoorHW-LTU,USD,0.00,0.00,0.00,10/21/2010,10/21/2011,LK10,1000004429,405.06,1,V4,EA,8,0,8,001,,,
4100000029,120,MK,200127,Ericsson- MinilinkTN-ACC-Dummy Unit,USD,0.00,0.00,0.00,10/21/2010,10/21/2011,LK10,1000004406,2.07,1,V4,EA,4,0,4,001,,,
4100000029,130,MK,200127,Ericsson- MinilinkTN-SW-HSBProtection,USD,0.00,0.00,0.00,10/21/2010,10/21/2011,LK10,1000004417,2.99,1,V4,EA,4,0,4,001,,,
4100000029,140,MK,200127,Ericsson- MinilinkTN-IndoorHW-PFU3,USD,0.00,0.00,0.00,10/21/2010,10/21/2011,LK10,1000004432,36.53,1,V4,EA,4,0,4,001,,,
4100000029,150,MK,200127,Ericsson- MinilinkTN-SW-ExternalAlarm,USD,0.00,0.00,0.00,10/21/2010,10/21/2011,LK10,1000004423,25.25,1,V4,EA,4,0,4,001,,,
4100000029,160,MK,200127,Ericsson- MinilinkTN-SW-EthernetSwitch,USD,0.00,0.00,0.00,10/21/2010,10/21/2011,LK10,1000004420,63.96,1,V4,EA,4,0,4,001,,,
4100000029,170,MK,200127,Ericsson- MinilinkTN-SW-RMTRoutingAMM20P,USD,0.00,0.00,0.00,10/21/2010,10/21/2011,LK10,1000004421,92.87,1,V4,EA,4,0,4,001,,,
4100000029,180,MK,200127,Ericsson- MinilinkTN-IndoorHW-AMM6P,USD,0.00,0.00,0.00,10/21/2010,10/21/2011,LK10,1000004426,455.82,1,V4,EA,4,0,4,001,,,
4100000029,190,MK,200127,"TFL 424 03, 5M",USD,0.00,0.00,0.00,10/21/2010,10/21/2011,LK10,1000010563,2.48,1,V4,EA,8,0,8,001,,,
4100000029,200,MK,200127,Ericsson- MinilinkTN-SW-200Mbps,USD,0.00,0.00,0.00,10/21/2010,10/21/2011,LK10,1000004419,170.39,1,V4,EA,8,0,8,001,,,
4100000029,210,MK,200127,Ericsson- MinilinkTN-SW-AdaptiveMod,USD,0.00,0.00,0.00,10/21/2010,10/21/2011,LK10,1000004418,15.00,1,V4,EA,8,0,8,001,,,
4100000029,220,MK,200127,Ericsson- MinilinkTN-SW-200Mbps,USD,0.00,0.00,0.00,10/21/2010,10/21/2011,LK10,1000004419,170.39,1,V4,EA,40,0,40,001,,,
4100000029,230,MK,200127,SO  EM  10000  MW  - MEE   ,USD,0.00,0.00,0.00,10/21/2010,10/21/2011,LK10,1000010554,323.40,1,V4,EA,40,0,40,001,,,
4100000029,240,MK,200127,SO  EM  Basic  Package  ,USD,0.00,0.00,0.00,10/21/2010,10/21/2011,LK10,1000010555,"1,445.85",1,V4,EA,72,0,72,001,,,
4100000029,250,MK,200127,SO  EM  - PPM  XML  10000  MEE  ,USD,0.00,0.00,0.00,10/21/2010,10/21/2011,LK10,1000010553,9.45,1,V4,EA,1,0,1,001,,,
4100000029,260,MK,200127,SO  EM  - PFM  SNMP  10000  MEE  ,USD,0.00,0.00,0.00,10/21/2010,10/21/2011,LK10,1000010551,9.45,1,V4,EA,72,0,72,001,,,
4100000029,270,MK,200127,SO  EM  - PIC  10000  MEE  ,USD,0.00,0.00,0.00,10/21/2010,10/21/2011,LK10,1000010552,9.45,1,V4,EA,72,0,72,001,,,
4100000029,280,MK,200127,SO  EM  Simultaneous  User  Cap  ,USD,0.00,0.00,0.00,10/21/2010,10/21/2011,LK10,1000010557,"1,228.50",1,V4,EA,72,0,72,001,,,
4100000029,290,MK,200127,SO  EM  Pre-Installation  ,USD,0.00,0.00,0.00,10/21/2010,10/21/2011,LK10,1000010556,952.33,1,V4,EA,1,0,1,001,,,
4100000029,300,MK,200127,HP  Ultrium  448  with  1U  mount  ,USD,0.00,0.00,0.00,10/21/2010,10/21/2011,LK10,1000010537,"1,550.17",1,V4,EA,1,0,1,001,,,
4100000029,310,MK,200127,HP  DL380/4  G7  Standard  Server  ,USD,0.00,0.00,0.00,10/21/2010,10/21/2011,LK10,1000010536,"4,168.35",1,V4,EA,1,0,1,001,,,
4100000030,10,MK,503345,Tea services,LKR,0.00,0.00,0.00,7/7/2010,7/6/2011,LK10,,"104,500,000.00",1,V4,AU,1,0,1,F05,,,
4100000031,10,MK,501793,Tea services,LKR,0.00,0.00,0.00,3/30/2011,7/6/2011,LK10,,"68,900,000.00",1,V4,AU,1,0,1,F05,,,
4100000032,10,MK,101937,Tea services,LKR,0.00,0.00,0.00,7/7/2010,7/6/2011,LK10,,"93,370,000.00",1,V4,AU,1,0,1,F05,,,
4100000033,10,MK,100474,Tea services,LKR,0.00,0.00,0.00,7/7/2010,7/6/2011,LK10,,"593,000,000.00",1,V4,AU,1,0,1,F05,,,
4100000034,10,MK,100038,Tea services,LKR,0.00,0.00,0.00,7/7/2010,7/6/2011,LK10,,"62,400,000.00",1,V4,AU,1,0,1,F05,,,
4100000035,10,MK,100039,A -Sony Eric.  K610i  Battery  (TR),LKR,0.00,0.00,0.00,3/31/2011,3/31/2012,LK10,7000000537,"2,000.00",1,V4,EA,99,0,99,B11,,,
4100000035,20,MK,100039,A-Sony Eric. K 600i Battery (TR),LKR,0.00,0.00,0.00,3/31/2011,3/31/2012,LK10,7000000153,"9,500.00",1,V4,EA,99,0,99,B11,,,
4100000035,30,MK,100039,A-Motorola Std. Battery (TR),LKR,0.00,0.00,0.00,3/31/2011,3/31/2012,LK10,7000000324,"2,200.00",1,V4,EA,99,0,99,B11,,,
4100000036,10,MK,100010,P -LG GS 155 (TR),LKR,0.00,0.00,0.00,3/31/2011,3/31/2012,LK10,7000000772,"5,990.00",1,V4,EA,99,0,99,B11,,,L
4100000037,10,MK,100103,A-Plantronic Discov640 Bluetoth H/S (TR),LKR,0.00,0.00,0.00,3/31/2011,3/31/2012,LK10,7000000195,"8,282.00",1,V4,EA,99,0,99,B11,,,L
4100000038,10,MK,100117,D -Edimax 3G-6210n Router (TR),LKR,0.00,0.00,0.00,3/31/2011,3/31/2012,LK10,7000000777,"10,340.00",1,V4,EA,99,0,99,B11,,,L
4100000039,10,MK,200255,SIM Card- (HLR 1)- Micro SIM Test,USD,0.00,0.00,0.00,3/31/2011,3/31/2012,LK10,7000000761,0.38,1,V4,EA,"99,999,999",0,"99,999,999",B11,,,
4100000039,20,MK,200255,SIM Card- (HLR1)- Micro SIM,USD,0.00,0.00,0.00,3/31/2011,3/31/2012,LK10,7000000742,0.38,1,V4,EA,"99,999,999",0,"99,999,999",B11,,,
4100000039,30,MK,200255,SIM Card- (HLR2)- Micro SIM,USD,0.00,0.00,0.00,3/31/2011,3/31/2012,LK10,7000000743,0.38,1,V4,EA,"99,999,999",0,"99,999,999",B11,,,
4100000040,10,MK,200305,A-Thuraya Gen11(SO2510) - Battery (TR),USD,0.00,0.00,0.00,3/31/2011,3/31/2012,LK10,7000000402,36.71,1,V4,EA,"99,999",0,"99,999",B11,,,
4100000040,20,MK,200305,A-Thuraya Hughes 7101 - Battery (TR),USD,0.00,0.00,0.00,3/31/2011,3/31/2012,LK10,7000000403,46.28,1,V4,EA,"99,999",0,"99,999",B11,,,
4100000040,30,MK,200305,A-Thuraya Hughes 7101 - Charger (TR),USD,0.00,0.00,0.00,3/31/2011,3/31/2012,LK10,7000000445,25.00,1,V4,EA,"99,999",0,"99,999",B11,,,
4100000040,40,MK,200305,Thuraya Scratch Cards 20$,USD,0.00,0.00,0.00,3/31/2011,3/31/2012,LK10,7000000906,18.84,1,V4,EA,"99,999",0,"99,999",B11,,,
4100000040,50,MK,200305,Thuraya Scratch Cards 80$,USD,0.00,0.00,0.00,3/31/2011,3/31/2012,LK10,7000000908,78.22,1,V4,EA,"99,999",0,"99,999",B11,,,
4100000041,10,MK,200323,P -I Phone 3G  (TR),USD,0.00,0.00,0.00,3/31/2011,3/31/2012,LK10,7000000412,615.00,1,V4,EA,"9,999",0,"9,999",B11,,,
4100000042,10,MK,200326,A-BB Standard Battery-7290 (TR),USD,0.00,0.00,0.00,3/31/2011,3/31/2012,LK10,7000000354,"5,666.67",1,V4,EA,999,0,999,B11,,,
4100000043,10,MK,100133,Cartridge-HP LJ Q5950A (4700),LKR,0.00,0.00,0.00,7/22/2010,7/23/2011,LK10,4000001245,"11,000.00",1,V4,EA,999,0,999,F05,,,
4100000043,20,MK,100133,Cartridge-HP LJ Q5951A (4700),LKR,0.00,0.00,0.00,7/22/2010,7/23/2011,LK10,4000001247,"11,000.00",1,V4,EA,999,0,999,F05,,,
4100000043,30,MK,100133,Cartridge-HP LJ Q5952A (4700),LKR,0.00,0.00,0.00,7/22/2010,7/23/2011,LK10,4000001248,"11,000.00",1,V4,EA,999,0,999,F05,,,
4100000043,40,MK,100133,Cartridge-HP LJ Q5953A (4700),LKR,0.00,0.00,0.00,7/22/2010,7/23/2011,LK10,4000001249,"11,000.00",1,V4,EA,999,0,999,F05,,,
4100000043,50,MK,100133,Cartridge-HP LJ Q7582A,LKR,0.00,0.00,0.00,7/22/2010,7/23/2011,LK10,4000001122,0.01,1,V4,EA,999,0,999,F05,,,
4100000043,60,MK,100133,Cartridge-HP LJ Q7583A,LKR,0.00,0.00,0.00,7/22/2010,7/23/2011,LK10,4000001125,0.01,1,V4,EA,999,0,999,F05,,,
4100000044,10,MK,200341,A-Joby Zivio Boom Wireless H/F ( Test),USD,0.00,0.00,0.00,3/31/2011,3/31/2012,LK10,7000000462,0.01,1,V4,EA,999,0,999,B11,,,
4100000045,10,MK,200365,A -BB 95XX Leather Swivel Holster (TR),USD,0.00,0.00,0.00,3/31/2011,3/31/2012,LK10,7000000600,11.36,1,V4,EA,"9,999",0,"9,999",B11,,,
4100000045,20,MK,200365,A -BB Car Charger - Micro (TR),USD,0.00,0.00,0.00,3/31/2011,3/31/2012,LK10,7000000595,19.56,1,V4,EA,"9,999",0,"9,999",B11,,,
4100000045,30,MK,200365,A- BB Liberty Key (Test),USD,0.00,0.00,0.00,3/31/2011,3/31/2012,LK10,7000000529,0.01,1,V4,EA,999,0,999,B11,,,
4100000045,40,MK,200365,A -BB USB Cable - Micro (TR),USD,0.00,0.00,0.00,3/31/2011,3/31/2012,LK10,7000000599,5.90,1,V4,EA,"9,999",0,"9,999",B11,,,
4100000045,50,MK,200365,A-BB 81xx - Pouch(TR),USD,0.00,0.00,0.00,3/31/2011,3/31/2012,LK10,7000000469,13.07,1,V4,EA,"9,999",0,"9,999",B11,,,
4100000045,60,MK,200365,A-BB 8300 Leather Swivel Holster (TR),USD,0.00,0.00,0.00,3/31/2011,3/31/2012,LK10,7000000360,13.04,1,V4,EA,"9,999",0,"9,999",B11,,,
4100000045,70,MK,200365,A-BB Headset (TR),USD,0.00,0.00,0.00,3/31/2011,3/31/2012,LK10,7000000160,8.70,1,V4,EA,"9,999",0,"9,999",B11,,,
4100000045,80,MK,200365,A-BB USB Cable (TR),USD,0.00,0.00,0.00,3/31/2011,3/31/2012,LK10,7000000356,8.14,1,V4,EA,"9,999",0,"9,999",B11,,,
